Unnamed: 0,agent,group,AS_fit,DB_fit,VS_fit,SG_fit,r2_AS,r2_DB,r2_VS,r2_SG,r2_ASG,fit_AS,fit_DB,fit_VS,fit_SG,fit_ASG,id,model,lambda,beta,tau,par,initial_eps_soc,eta_eps_soc
8160,3,26,294.64005563909103,299.98271368471086,301.7917489406512,291.51090608532735,0.23192098910515332,0.2574472737372299,0.2520519968496958,0.2610698435014538,0.2571352394241432,408.64888102785625,394.94659896789693,397.7812976090895,392.9380247043257,395.05138230996425,41,SG,1.6584819857338795,0.01035835619804759,0.07353273735931286,3.398400080307927,,
9360,4,26,386.1165282365868,382.8354572342374,387.2896206192105,388.8948000541883,0.45145336155114674,0.44150665859879473,0.43813868404988604,0.45727906120083506,0.4572012859773209,294.64005563909103,299.9827136847109,301.7917489406512,291.5109060853273,291.55268137766774,42,SG,1.4029273223710057,0.24605191491465883,0.07466450909430658,11.029890684258868,,
9600,1,26,436.7980092431347,445.6485870258103,427.4966519087825,438.44607330811766,0.2811468788440564,0.2872554185161213,0.2789628720508105,0.2759744264328023,0.28472517594484814,386.1165282365869,382.8354572342374,387.2896206192105,388.8948000541883,384.19452273519175,43,DB,1.3119296052213412,0.21996849205417987,0.08418693343988587,0.21428570000000002,,
14160,1,28,374.26130546420046,377.98314954558464,388.8915550146609,374.0150750498729,0.28570951845088866,0.2789300724828531,0.2581383720002511,0.2863115982987011,0.28629918527891385,374.26130546420046,377.98314954558464,388.891555014661,374.0150750498729,374.0216242630126,44,SG,0.7695770828702977,0.4435270114131184,0.040748727678145275,18.497417622353453,,
14880,4,28,393.7356337938368,390.9062131393636,399.74030480973454,395.5392312056501,0.20196018357149617,0.19730016342077675,0.2155293312678001,0.19893852810997842,0.21263117806674733,423.9984416044985,426.4472125121406,416.68355589834624,425.6665822116782,418.3118653039187,45,VS,1.7093411876649454,0.08699814516033454,0.10048964722413983,0.12919501407426223,,
16800,3,28,420.36119247954014,412.6216290307224,408.8088315520676,409.1447878865472,0.21739181534959584,0.2318009611247751,0.23889944349325598,0.23827397620047858,0.23269637160623374,420.36119247954014,412.6216290307224,408.8088315520676,409.1447878865472,412.1406785051247,46,VS,2.005780390319421,0.03608064243851312,0.10334136153151799,0.17465178698520692,,
27600,2,28,423.99844160449845,426.4472125121406,416.68355589834624,425.66658221167825,0.2669619957589954,0.2722296746066743,0.25578278900240725,0.2636041451258922,0.268239135616964,393.7356337938367,390.9062131393636,399.74030480973454,395.5392312056501,393.0496455251366,47,DB,1.7634364451897997,0.04765068257525173,0.10742558466873708,0.21428570000000002,,
10320,4,29,403.4063746354346,408.89598369694806,405.4396321005539,400.8544152123562,0.2870562540775245,0.2925594337058213,0.2869942431848969,0.2845204829230316,0.2803073860415283,378.94528080580847,375.9699321738127,378.9632180967829,380.1010879989094,382.2021092295504,48,DB,0.8394684291969311,0.3683371226924126,0.052960757152165534,0.21428570000000002,,
12720,3,29,540.4237880167532,472.29432536984274,408.2602790388244,524.066261891361,0.1714192770808078,0.15295437278522683,0.18435804632153574,0.1529617185060304,0.14997059787923805,445.05435489083237,454.9723819967951,438.1045726448422,454.96843640049656,456.57505265904,49,VS,1.8504515237891166,0.006737946999085468,0.1286419459369131,0.11688805314606666,,
16320,1,29,378.94528080580847,375.9699321738128,378.9632180967829,380.1010879989094,-0.006134931692752532,0.12070521444157757,0.23992071209334354,0.02431872115482299,0.2345452828918138,540.4237880167532,472.2943253698428,408.26027903882436,524.066261891361,411.14757548366515,50,VS,0.7914356227038861,0.39536231746793693,0.049426057597169754,0.116,,
24720,2,29,445.0543548908323,454.9723819967951,438.1045726448423,454.96843640049656,0.2489574770982112,0.23873718783523262,0.2451720564595507,0.253708592013497,0.24791737984844173,403.40637463543453,408.89598369694806,405.4396321005539,400.8544152123561,403.9650405538124,51,SG,2.9651019939276777,0.006737946999085468,0.14998477132642957,12.866605368163244,,
2400,4,30,375.24518478040454,387.68750459775634,376.19525142485446,358.55352558859323,0.246927137589114,0.23439119080151088,0.23228139639294093,0.23577511190013575,0.2405947679793109,404.4969279339075,411.23034274332565,412.3635735360362,410.48699922261426,407.89822438417025,52,AS,0.6018318417853872,0.4077264001262257,0.0319206102761077,,,
